Year,Total
ARHAR,8.406
COTTON,18.772
GRAM,10.558
GROUNDNUT,10.288
MAIZE,30.798
MOONG,4.196
PADDY,46.296
RAPESEED AND MUSTARD,21.267
SUGARCANE,100.496
WHEAT,33.9
